Batch Size=1, Learning Rate=0.001, Dropout=0.3, Epochs=10, Train Time=635.49s, Valid Loss=0.2731, Valid Accuracy=0.8892
Batch Size=1, Learning Rate=0.001, Dropout=0.3, Epochs=20, Train Time=2066.31s, Valid Loss=0.2689, Valid Accuracy=0.8922
Batch Size=1, Learning Rate=0.001, Dropout=0.5, Epochs=10, Train Time=635.57s, Valid Loss=0.2899, Valid Accuracy=0.8794
Batch Size=1, Learning Rate=0.001, Dropout=0.5, Epochs=20, Train Time=1359.47s, Valid Loss=0.2761, Valid Accuracy=0.8880
Batch Size=1, Learning Rate=0.0001, Dropout=0.3, Epochs=10, Train Time=670.85s, Valid Loss=0.3220, Valid Accuracy=0.8746
Batch Size=1, Learning Rate=0.0001, Dropout=0.3, Epochs=20, Train Time=1209.10s, Valid Loss=0.2882, Valid Accuracy=0.8864
Batch Size=1, Learning Rate=0.0001, Dropout=0.5, Epochs=10, Train Time=662.80s, Valid Loss=0.3406, Valid Accuracy=0.8664
Batch Size=1, Learning Rate=0.0001, Dropout=0.5, Epochs=20, Train Time=1278.36s, Valid Loss=0.3017, Valid Accuracy=0.8790
Batch Size=16, Learning Rate=0.001, Dropout=0.3, Epochs=10, Train Time=56.52s, Valid Loss=0.3327, Valid Accuracy=0.8758
Batch Size=16, Learning Rate=0.001, Dropout=0.3, Epochs=20, Train Time=120.11s, Valid Loss=0.2970, Valid Accuracy=0.8894
Batch Size=16, Learning Rate=0.001, Dropout=0.5, Epochs=10, Train Time=59.68s, Valid Loss=0.3412, Valid Accuracy=0.8786
Batch Size=16, Learning Rate=0.001, Dropout=0.5, Epochs=20, Train Time=115.99s, Valid Loss=0.3027, Valid Accuracy=0.8860
Batch Size=16, Learning Rate=0.0001, Dropout=0.3, Epochs=10, Train Time=56.85s, Valid Loss=0.6307, Valid Accuracy=0.7266
Batch Size=16, Learning Rate=0.0001, Dropout=0.3, Epochs=20, Train Time=113.14s, Valid Loss=0.5390, Valid Accuracy=0.7860
Batch Size=16, Learning Rate=0.0001, Dropout=0.5, Epochs=10, Train Time=60.30s, Valid Loss=0.6515, Valid Accuracy=0.6920
Batch Size=16, Learning Rate=0.0001, Dropout=0.5, Epochs=20, Train Time=120.97s, Valid Loss=0.5531, Valid Accuracy=0.7786
Batch Size=32, Learning Rate=0.001, Dropout=0.3, Epochs=10, Train Time=23.46s, Valid Loss=0.3698, Valid Accuracy=0.8622
Batch Size=32, Learning Rate=0.001, Dropout=0.3, Epochs=20, Train Time=44.76s, Valid Loss=0.3169, Valid Accuracy=0.8812
Batch Size=32, Learning Rate=0.001, Dropout=0.5, Epochs=10, Train Time=23.97s, Valid Loss=0.3814, Valid Accuracy=0.8580
Batch Size=32, Learning Rate=0.001, Dropout=0.5, Epochs=20, Train Time=47.98s, Valid Loss=0.3233, Valid Accuracy=0.8758
Batch Size=32, Learning Rate=0.0001, Dropout=0.3, Epochs=10, Train Time=23.45s, Valid Loss=0.6727, Valid Accuracy=0.6586
Batch Size=32, Learning Rate=0.0001, Dropout=0.3, Epochs=20, Train Time=40.53s, Valid Loss=0.6144, Valid Accuracy=0.7242
Batch Size=32, Learning Rate=0.0001, Dropout=0.5, Epochs=10, Train Time=22.86s, Valid Loss=0.6733, Valid Accuracy=0.6726
Batch Size=32, Learning Rate=0.0001, Dropout=0.5, Epochs=20, Train Time=46.85s, Valid Loss=0.6255, Valid Accuracy=0.7244
Batch Size=64, Learning Rate=0.001, Dropout=0.3, Epochs=10, Train Time=15.40s, Valid Loss=0.4316, Valid Accuracy=0.8364
Batch Size=64, Learning Rate=0.001, Dropout=0.3, Epochs=20, Train Time=30.95s, Valid Loss=0.3552, Valid Accuracy=0.8710
Batch Size=64, Learning Rate=0.001, Dropout=0.5, Epochs=10, Train Time=15.57s, Valid Loss=0.4465, Valid Accuracy=0.8312
Batch Size=64, Learning Rate=0.001, Dropout=0.5, Epochs=20, Train Time=31.65s, Valid Loss=0.3650, Valid Accuracy=0.8620
Batch Size=64, Learning Rate=0.0001, Dropout=0.3, Epochs=10, Train Time=15.54s, Valid Loss=0.6842, Valid Accuracy=0.6380
Batch Size=64, Learning Rate=0.0001, Dropout=0.3, Epochs=20, Train Time=32.64s, Valid Loss=0.6641, Valid Accuracy=0.6724
Batch Size=64, Learning Rate=0.0001, Dropout=0.5, Epochs=10, Train Time=17.30s, Valid Loss=0.6857, Valid Accuracy=0.6108
Batch Size=64, Learning Rate=0.0001, Dropout=0.5, Epochs=20, Train Time=30.55s, Valid Loss=0.6699, Valid Accuracy=0.6748
Batch Size=128, Learning Rate=0.001, Dropout=0.3, Epochs=10, Train Time=12.30s, Valid Loss=0.5168, Valid Accuracy=0.7978
Batch Size=128, Learning Rate=0.001, Dropout=0.3, Epochs=20, Train Time=24.73s, Valid Loss=0.4105, Valid Accuracy=0.8448
Batch Size=128, Learning Rate=0.001, Dropout=0.5, Epochs=10, Train Time=12.90s, Valid Loss=0.5340, Valid Accuracy=0.7812
